,name,Price,year,kms_driven,fuel_type,company
61,Maruti Wagon R,445000,2019,10000,Petrol,Maruti
62,Maruti Ignis 1.2,530000,2019,20000,Petrol,Maruti
63,Toyota Corolla Altis,385000,2011,61000,Petrol,Toyota
64,Maruti Wagon R,409999,2018,53237,CNG,Maruti
65,Datsun RediGO Gold,350000,2018,27263,Petrol,others
66,Tata Indigo eLX,265000,2014,90000,Diesel,Tata
67,Hyundai Verna 1.6,520000,2014,110000,Diesel,Hyundai
68,Hyundai i20 Asta,750000,2016,70000,Diesel,Hyundai
69,Maruti Swift Dzire,560000,2017,70000,Diesel,Maruti
70,Tata Vista TDI,200000,2014,190000,Diesel,Tata
71,Hyundai Xcent 1.2,600000,2017,40000,Diesel,Hyundai
72,Hyundai i20 1.2,655000,2019,39000,Petrol,Hyundai
73,Hyundai Santro Xing,125000,2007,56000,Petrol,Hyundai
74,Toyota Corolla Altis,425000,2009,58000,Petrol,Toyota
75,Maruti Omni E,220000,2017,40000,Petrol,Maruti
76,Hyundai i20 1.2,550000,2018,34000,Petrol,Hyundai
77,Mahindra Scorpio 1.99,1150000,2017,50000,Diesel,Mahindra
78,Volkswagen Vento Diesel,500000,2012,77400,Diesel,Volkswagen
79,Mahindra Marazzo M2,990000,2019,36000,Diesel,Mahindra
80,Hyundai Verna SX,551000,2013,47876,Diesel,Hyundai
81,Mahindra XUV500 W11,1650000,2018,21500,Diesel,Mahindra
82,Hyundai Grand i10,350000,2015,75000,Diesel,Hyundai
83,Ford Aspire 1.2,500000,2017,58000,Petrol,Ford
84,Maruti Swift Dzire,575000,2018,30000,Petrol,Maruti
85,Hyundai Grand i10,545000,2018,50000,Diesel,Hyundai
86,Ford Figo 1.2P,525000,2017,19093,Petrol,Ford
87,Honda Amaze E,400000,2014,50000,Petrol,Honda
88,Maruti Wagon R,155000,2006,37000,Petrol,Maruti
89,Mahindra Supro VX,540000,2019,3888,Diesel,Mahindra
90,Maruti Swift Dzire,545000,2016,47000,Diesel,Maruti
91,Honda City V,545000,2013,70000,Petrol,Honda
92,Renault KWID RXL,240000,2016,25000,Petrol,Renault
93,Maruti Vitara Brezza,725000,2018,26000,Diesel,Maruti
94,Ford Aspire 1.2,480000,2017,30000,Petrol,Ford
95,Hyundai i20 Magna,375000,2013,15000,Petrol,Hyundai
96,Maruti Swift VDi,225000,2011,160000,Diesel,Maruti
97,Tata Tiago 1.2,400000,2017,32100,Petrol,Tata
98,Hyundai i20 Magna,550000,2016,22000,Petrol,Hyundai
99,Mahindra Scorpio S10,1050000,2016,44000,Diesel,Mahindra
100,Volkswagen Polo 1.2,450000,2016,78000,Petrol,Volkswagen
101,Mercedes-Benz C-Class C,775000,2012,74352,Petrol,Mercedes-Benz
102,Maruti Wagon R,350000,2014,37000,Petrol,Maruti
103,Honda City i,550000,2014,69000,Diesel,Honda
104,Kia Seltos HTK,1080000,2019,12120,Petrol,others
105,Maruti Baleno Delta,575000,2016,52000,Petrol,Maruti
106,Toyota Innova 2.5,950000,2016,120000,Diesel,Toyota
107,Maruti Alto 800,229999,2013,55000,Petrol,Maruti
108,Hyundai i20 1.4,270000,2011,160000,Diesel,Hyundai
109,Chevrolet Beat Diesel,165000,2012,42000,Diesel,Chevrolet
110,Ford Figo Petrol,130000,2011,40000,Petrol,Ford
111,Maruti Swift Dzire,370000,2012,46000,Petrol,Maruti
112,Maruti Baleno Delta,570000,2017,25000,Petrol,Maruti
113,Toyota Etios GD,390000,2015,240000,Diesel,Toyota
114,Volkswagen Polo Diesel,365000,2013,90000,Diesel,Volkswagen
115,Hyundai i20 Magna,280000,2012,49566,Petrol,Hyundai
116,Hyundai Verna CRDi,1250000,2018,14000,Diesel,Hyundai
117,Hyundai i20 2015-2017,590000,2016,11000,Petrol,Hyundai
118,Maruti Celerio VXI,475000,2018,5000,Petrol,Maruti
119,Ford Ecosport 2015-2021,685000,2017,55000,Diesel,Ford
120,Hyundai Verna SX,380000,2012,65000,Diesel,Hyundai
121,Renault KWID 1.0,330000,2018,22000,Petrol,Renault
122,Maruti Baleno Delta,650000,2018,7671,Petrol,Maruti
123,Maruti Wagon R,325000,2016,66000,Petrol,Maruti
124,Maruti Swift Dzire,640000,2018,45156,Petrol,Maruti
125,Hyundai Venue SX,949000,2019,25000,Petrol,Hyundai
126,Nissan Terrano XL,750000,2015,70000,Diesel,Nissan
127,Hyundai Verna 1.6,660000,2015,120000,Diesel,Hyundai
128,Maruti Swift VXi,434999,2014,28000,Petrol,Maruti
129,Hyundai i20 Sportz,385000,2013,55000,Diesel,Hyundai
130,Hyundai Santa Fe,1000000,2011,104000,Diesel,Hyundai
131,Hyundai Verna CRDi,1250000,2019,14000,Diesel,Hyundai
132,Hyundai Xcent 1.2,550000,2017,18000,Petrol,Hyundai
133,Maruti Wagon R,155000,2009,98780,Petrol,Maruti
134,Maruti Swift VDI,415000,2015,58000,Diesel,Maruti
135,Maruti Alto K10,250999,2011,30000,Petrol,Maruti
136,Mahindra Scorpio S10,1150000,2016,46400,Diesel,Mahindra
137,Hyundai i10 Magna,310000,2014,32111,Petrol,Hyundai
138,Datsun GO Plus,350000,2015,35000,Petrol,others
139,Mahindra Scorpio 1.99,1125000,2017,30000,Diesel,Mahindra
140,BMW 5 Series,2600000,2016,63000,Diesel,BMW
141,Chevrolet Beat LT,200000,2017,43890,Petrol,Chevrolet
142,Datsun GO Plus,480000,2018,10000,Petrol,others
143,Maruti Swift Dzire,850000,2017,25000,Diesel,Maruti
144,Hyundai Creta 1.6,1100000,2017,102000,Diesel,Hyundai
145,Maruti Swift VXI,575000,2018,35000,Petrol,Maruti
146,Hyundai Santro LP,160000,2007,54000,Petrol,Hyundai
147,Maruti Swift Dzire,340000,2012,49948,Petrol,Maruti
148,Tata Indigo eLX,559000,2018,114851,Diesel,Tata
149,Ford Ecosport 2015-2021,925000,2018,55000,Diesel,Ford
150,Hyundai Grand i10,400000,2015,36000,Petrol,Hyundai
151,Hyundai Xcent 1.2,560000,2019,35000,Diesel,Hyundai
152,Honda City i,725000,2016,49625,Petrol,Honda
153,Maruti Swift Dzire,600000,2014,35000,Diesel,Maruti
154,Mahindra Scorpio VLX,550000,2013,95000,Diesel,Mahindra
155,Ford Aspire 1.5,585000,2017,36000,Diesel,Ford
156,Maruti Wagon R,411000,2019,50000,Petrol,Maruti
157,Maruti Swift Dzire,450000,2015,26500,Petrol,Maruti
158,Honda CR-V 2.0L,1290000,2015,80000,Petrol,Honda
159,Volkswagen Polo 1.2,455000,2015,46000,Petrol,Volkswagen
160,Hyundai Grand i10,710000,2019,9000,Petrol,Hyundai
161,Mahindra TUV 300,450000,2016,70000,Diesel,Mahindra
162,Toyota Etios Liva,465000,2015,33000,Petrol,Toyota
163,Honda City V,770000,2016,53000,Petrol,Honda
164,Tata Indigo LS,320000,2015,50000,Diesel,Tata
165,Tata Indigo LX,325000,2015,50000,Diesel,Tata
166,Ford Endeavour 3.2,2900000,2018,11387,Diesel,Ford
167,Honda Amaze VX,720000,2018,50000,Diesel,Honda
168,Mahindra KUV 100,375000,2016,52000,Diesel,Mahindra
169,Chevrolet Aveo 1.4,145000,2010,60000,Petrol,Chevrolet
170,Datsun GO Plus,400000,2015,35000,Petrol,others
171,Renault Duster 85PS,600000,2015,48000,Diesel,Renault
172,Honda Jazz 1.2,600000,2018,18000,Petrol,Honda
173,Maruti Wagon R,270000,2012,57413,LPG,Maruti
174,Hyundai i20 Magna,500000,2015,30000,Petrol,Hyundai
175,Hyundai Verna 1.6,650000,2015,55000,Diesel,Hyundai
176,Chevrolet Sail 1.2,380000,2015,120000,Petrol,Chevrolet
177,Mitsubishi Pajero Sport,728000,2012,165000,Diesel,others
178,Maruti Swift AMT,660000,2018,10000,Petrol,Maruti
179,Tata Indica Vista,180000,2010,120000,Diesel,Tata
180,BMW 3 Series,2089999,2016,68000,Diesel,BMW
181,Chevrolet Beat Diesel,250000,2015,55000,Diesel,Chevrolet
182,Kia Seltos HTK,1275000,2020,8000,Petrol,others
183,Toyota Corolla Altis,455000,2012,80000,Petrol,Toyota
184,Maruti Swift VDI,495000,2015,65000,Diesel,Maruti
185,Maruti Ritz VXI,220000,2010,47000,Petrol,Maruti
186,Maruti S-Cross 2017-2020,800000,2018,185000,Diesel,Maruti
187,Hyundai Santa Fe,1295000,2014,68000,Diesel,Hyundai
188,Hyundai Grand i10,475000,2016,25000,Petrol,Hyundai
189,Tata Sumo Gold,380000,2014,280000,Diesel,Tata
190,Maruti S-Cross 2017-2020,900000,2018,7791,Diesel,Maruti
191,Maruti Ciaz VXi,530000,2015,70000,Petrol,Maruti
192,Tata Tiago 1.2,530000,2016,9500,Petrol,Tata
193,Hyundai Verna 1.6,650000,2015,9100,Petrol,Hyundai
194,Honda New Accord,495000,2010,82000,Petrol,Honda
195,Honda City 1.5,335000,2010,86000,Petrol,Honda
196,Audi Q5 40,4675000,2020,19000,Diesel,Audi
197,Audi A4 2.0,1290000,2013,78000,Diesel,Audi
198,Ford Figo Diesel,300000,2011,60000,Diesel,Ford
199,Maruti Wagon R,550000,2019,7883,Petrol,Maruti
200,Maruti Swift Dzire,390000,2013,50205,Diesel,Maruti
201,Mahindra Bolero DI,260000,2008,220000,Diesel,Mahindra
202,Tata Tigor 1.05,395000,2017,58000,Diesel,Tata
203,Mahindra Scorpio SLE,550000,2012,170000,Diesel,Mahindra
204,Maruti Swift Dzire,650000,2018,15000,Petrol,Maruti
205,Maruti Swift DDiS,375000,2016,71245,Diesel,Maruti
206,Tata Manza ELAN,300000,2012,20000,Diesel,Tata
207,Toyota Etios VX,450000,2016,52000,Petrol,Toyota
208,Honda Brio S,335000,2015,61000,Petrol,Honda
209,Kia Seltos GTK,1300000,2019,7000,Petrol,others
210,Maruti Alto K10,360000,2018,20000,Petrol,Maruti
211,Maruti Celerio ZXI,505000,2020,8700,Petrol,Maruti
212,Maruti Alto 800,310000,2019,25000,Petrol,Maruti
213,Hyundai i20 Asta,545000,2015,42000,Petrol,Hyundai
214,Mahindra Xylo E4,300000,2009,120000,Diesel,Mahindra
215,Chevrolet Aveo 1.4,200000,2009,60000,Petrol,Chevrolet
216,Mahindra Bolero DI,150000,2006,120000,Diesel,Mahindra
217,Maruti Baleno Delta,580000,2018,50000,Petrol,Maruti
218,Maruti Wagon R,250000,2011,58000,Petrol,Maruti
219,Hyundai Verna 1.4,650000,2017,36000,Petrol,Hyundai
220,Maruti SX4 S,800000,2016,80000,Diesel,Maruti
221,Audi Q3 2.0,1475000,2013,71000,Diesel,Audi
222,Maruti Ertiga VDI,409999,2018,30000,Diesel,Maruti
223,Ford Ecosport 2015-2021,531000,2015,162828,Diesel,Ford
224,Ford Ecosport 2015-2021,890000,2018,7500,Diesel,Ford
225,Tata Safari Storme,775000,2016,47227,Diesel,Tata
226,Maruti Wagon R,434999,2018,52000,CNG,Maruti
227,Ford Figo Diesel,185000,2012,74000,Diesel,Ford
228,Mahindra Bolero 2011-2019,440000,2011,47000,Diesel,Mahindra
229,Hyundai i20 Sportz,450000,2015,50000,Petrol,Hyundai
230,Maruti Baleno Zeta,600000,2017,100000,Petrol,Maruti
231,Maruti Celerio VXI,320000,2014,35000,Petrol,Maruti
232,Hyundai i20 Active,700000,2016,50000,Diesel,Hyundai
233,Ford Aspire 1.2,630000,2018,10000,Petrol,Ford
234,Maruti Alto 800,320000,2016,10370,Petrol,Maruti
235,Honda City V,465000,2013,62000,Petrol,Honda
236,Tata Manza Aura,275000,2011,70000,Diesel,Tata
237,Nissan Sunny Diesel,370000,2013,250000,Diesel,Nissan
238,Hyundai i20 Sportz,550000,2016,40000,Petrol,Hyundai
239,Maruti Swift VVT,445000,2017,60000,Petrol,Maruti
240,Tata Safari Storme,705000,2013,67231,Diesel,Tata
241,Maruti Wagon R,270000,2013,64000,CNG,Maruti
242,Nissan Micra Diesel,420000,2012,142587,Diesel,Nissan
243,Honda City i,475000,2014,63000,Diesel,Honda
244,Toyota Fortuner 4x4,1755000,2015,80000,Diesel,Toyota
245,Honda City 2017-2020,350000,2011,55000,Petrol,Honda
246,Hyundai i20 2015-2017,575000,2016,11000,Petrol,Hyundai
247,Toyota Etios Liva,466000,2016,66000,Diesel,Toyota
248,Renault KWID 1.0,360000,2017,17000,Petrol,Renault
249,Maruti Alto 800,275000,2017,25000,Petrol,Maruti
250,Datsun GO Plus,320000,2016,33350,Petrol,others
251,Maruti Omni 5,95000,2000,45000,Petrol,Maruti
252,Hyundai Grand i10,370000,2015,62000,Petrol,Hyundai
253,Honda Brio E,250000,2013,30000,Petrol,Honda
254,Maruti Swift Dzire,275000,2009,59000,Petrol,Maruti
255,Mercedes-Benz GLA AMG,1950000,2015,20000,Petrol,Mercedes-Benz
256,Honda City i,550000,2014,86113,Petrol,Honda
257,Toyota Corolla Altis,1325000,2016,45000,Diesel,Toyota
258,Maruti Swift Dzire,750000,2018,10000,Diesel,Maruti
259,Nissan Micra XV,290000,2011,70000,Petrol,Nissan
260,Maruti Wagon R,272000,2015,92537,Petrol,Maruti
261,Maruti Ciaz 1.3,951000,2019,27645,Diesel,Maruti
262,Maruti Alto K10,280000,2013,46242,Petrol,Maruti
263,Honda City V,545000,2013,70000,Petrol,Honda
264,Renault KWID RXT,450000,2020,6000,Petrol,Renault
265,Hyundai i20 2015-2017,480000,2017,64000,Petrol,Hyundai
266,Mahindra Scorpio 1.99,1060000,2017,93000,Diesel,Mahindra
267,Maruti Alto 800,235000,2013,26200,Petrol,Maruti
268,Maruti Baleno Zeta,590000,2017,25000,Petrol,Maruti
269,Mahindra TUV 300,750000,2017,80000,Diesel,Mahindra
270,Hyundai Santro AT,71000,2004,110000,Petrol,Hyundai
271,Mahindra TUV 300,450000,2016,70000,Diesel,Mahindra
272,Toyota Fortuner 2016-2021,2950000,2018,50000,Diesel,Toyota
273,Hyundai Santro Xing,110000,2008,80000,Petrol,Hyundai
274,Mahindra Scorpio M2DI,280000,2007,110000,Diesel,Mahindra
275,Audi A4 30,1851000,2016,55000,Petrol,Audi
276,Honda City i-VTEC,750000,2018,25000,Petrol,Honda
277,Hyundai Grand i10,400000,2015,36000,Petrol,Hyundai
278,Maruti Swift Dzire,530000,2015,40000,Diesel,Maruti
279,Mahindra Thar CRDe,869999,2018,25000,Diesel,Mahindra
280,Renault KWID RXL,295000,2018,30038,Petrol,Renault
281,Tata Tiago 1.05,370000,2017,53000,Diesel,Tata
282,Maruti Swift VXI,530000,2018,5000,Petrol,Maruti
283,Hyundai Xcent 1.1,600000,2014,41217,Diesel,Hyundai
284,Renault KWID Climber,350000,2017,35000,Petrol,Renault
285,Ford Ecosport 1.5,470000,2013,62000,Diesel,Ford
286,Ford Aspire 1.5,390000,2015,42000,Diesel,Ford
287,Ambassador Avigo 2000,115999,2005,120000,Diesel,others
288,Mahindra Scorpio S10,919999,2015,80000,Diesel,Mahindra
289,Mahindra XUV500 W8,550000,2013,60000,Diesel,Mahindra
290,Hyundai Verna 1.6,635000,2014,45000,Diesel,Hyundai
291,Mahindra XUV500 AT,1250000,2017,50000,Diesel,Mahindra
292,Maruti Alto 800,300000,2018,12000,Petrol,Maruti
293,Honda City i-VTEC,960000,2018,12000,Petrol,Honda
294,Maruti Vitara Brezza,750000,2018,15000,Diesel,Maruti
295,Volkswagen Polo Petrol,249000,2011,63000,Petrol,Volkswagen
296,Tata Hexa XT,1400000,2018,30000,Diesel,Tata
297,Ford Figo Diesel,250000,2011,160800,Diesel,Ford
298,Hyundai Verna 1.6,610000,2014,120000,Diesel,Hyundai
299,Maruti Zen Estilo,165000,2010,62821,Petrol,Maruti
300,Ford Ecosport 2015-2021,545000,2016,78247,Diesel,Ford
301,Hyundai Verna 1.6,480000,2013,113000,Diesel,Hyundai
302,Hyundai i20 2015-2017,395000,2014,52000,Petrol,Hyundai
303,Toyota Innova 2.5,495000,2012,109000,Diesel,Toyota
304,Ford Figo Aspire,550000,2017,15000,Diesel,Ford
305,Hyundai Grand i10,470000,2017,90000,Petrol,Hyundai
306,Tata Indica eXeta,200000,2011,35000,Petrol,Tata
307,Skoda Laura 1.9,280000,2010,90000,Diesel,Skoda
308,Chevrolet Aveo 1.4,149000,2008,62001,Petrol,Chevrolet
309,Volkswagen Polo Diesel,200000,2011,98000,Diesel,Volkswagen
310,Hyundai i20 Active,699000,2016,20000,Diesel,Hyundai
311,Toyota Corolla Altis,315000,2010,57000,Petrol,Toyota
312,Maruti Wagon R,340000,2014,21717,Petrol,Maruti
313,Renault Duster 85PS,500000,2014,40000,Diesel,Renault
314,Honda City i-VTEC,1050000,2017,50000,Petrol,Honda
315,Renault Duster 110PS,600000,2016,90000,Diesel,Renault
316,Fiat Avventura Urban,478000,2017,90000,Diesel,others
317,Maruti Swift VXI,491000,2017,27876,Petrol,Maruti
318,Land Rover Discovery,2890000,2016,56000,Petrol,others
319,Hyundai i10 Asta,160000,2008,57215,Petrol,Hyundai
320,Hyundai Venue SX,985000,2019,5400,Petrol,Hyundai
321,Maruti Swift Dzire,500000,2014,60000,Diesel,Maruti
322,Tata Tiago 1.2,335000,2017,24800,Petrol,Tata
323,Maruti Alto LXi,85000,2005,70000,Petrol,Maruti
324,Honda BRV i-DTEC,950000,2016,59450,Diesel,Honda
325,Honda Jazz VX,740000,2018,20000,Petrol,Honda
326,Tata Indica Vista,200000,2010,90000,Diesel,Tata
327,Maruti Swift VXI,375000,2013,34553,Petrol,Maruti
328,Maruti Vitara Brezza,810000,2018,40000,Diesel,Maruti
329,Volkswagen Polo Petrol,173000,2010,350000,Petrol,Volkswagen
330,Maruti Vitara Brezza,700000,2017,50000,Diesel,Maruti
331,Mahindra KUV 100,310000,2016,70000,Diesel,Mahindra
332,Mahindra Scorpio 1.99,850000,2017,120000,Diesel,Mahindra
333,Hyundai i20 Era,285000,2013,90000,Diesel,Hyundai
334,Maruti Swift Dzire,450000,2014,120000,Diesel,Maruti
335,Hyundai Creta 1.6,1100000,2017,80000,Diesel,Hyundai
336,Mahindra Xylo E4,350000,2011,155000,Diesel,Mahindra
337,Mahindra Scorpio 1.99,1080000,2017,30000,Diesel,Mahindra
338,Honda City i,530000,2014,66100,Diesel,Honda
339,Maruti Swift Dzire,680000,2017,50000,Diesel,Maruti
340,Mahindra Scorpio 1.99,1025000,2017,42000,Diesel,Mahindra
341,Hyundai i20 1.2,650000,2017,55000,Petrol,Hyundai
342,Hyundai i10 Magna,194000,2012,110699,Petrol,Hyundai
343,Maruti Baleno Delta,686000,2019,5000,Petrol,Maruti
344,Maruti Alto 800,200000,2016,50000,Petrol,Maruti
345,Maruti Swift Dzire,250000,2010,44000,Petrol,Maruti
346,Maruti Vitara Brezza,730000,2018,90000,Diesel,Maruti
347,Hyundai Verna 1.6,650000,2016,55000,Petrol,Hyundai
348,Maruti Vitara Brezza,790000,2017,45000,Diesel,Maruti
349,Maruti Baleno Zeta,620000,2017,30000,Petrol,Maruti
350,Hyundai Verna 1.6,509999,2013,50000,Petrol,Hyundai
351,Hyundai Santro Xing,114999,2005,120000,Petrol,Hyundai
352,Maruti Eeco 5,375000,2013,20000,Petrol,Maruti
353,Nissan Terrano XV,525000,2015,69000,Diesel,Nissan
354,Maruti Swift Dzire,620000,2017,19843,Petrol,Maruti
355,Tata Indigo LS,270000,2014,20000,Diesel,Tata
356,Ford Endeavour 3.0L,950000,2011,30000,Diesel,Ford
357,Toyota Innova Crysta,1450000,2017,52300,Diesel,Toyota
358,Honda City i,844999,2016,40000,Petrol,Honda
359,Maruti Swift Dzire,390000,2014,61500,Diesel,Maruti
360,Honda Amaze S,395000,2015,59000,Petrol,Honda
361,Hyundai Grand i10,450000,2018,40000,Petrol,Hyundai
362,Audi A6 2.0,1700000,2013,60000,Diesel,Audi
363,Hyundai Grand i10,325000,2013,61000,Petrol,Hyundai
364,Mahindra KUV 100,350000,2016,70000,Diesel,Mahindra
365,Mahindra XUV500 W8,650000,2013,63000,Diesel,Mahindra
366,Mercedes-Benz E-Class E,1250000,2012,58000,Petrol,Mercedes-Benz
367,Maruti Zen Estilo,220000,2013,40000,Petrol,Maruti
368,Mahindra Quanto C8,350000,2015,49000,Diesel,Mahindra
369,Maruti Swift Dzire,750000,2017,22000,Diesel,Maruti
370,Honda City 1.5,299000,2010,57977,Petrol,Honda
371,Hyundai Xcent 1.1,378000,2016,70000,Diesel,Hyundai
372,Mini Cooper 3,1325000,2012,67000,Petrol,others
373,Maruti Ertiga VDI,524000,2014,48242,Diesel,Maruti
374,Ford Figo Diesel,169000,2012,68000,Diesel,Ford
375,Maruti Ertiga ZDI,500000,2014,40000,Diesel,Maruti
376,Audi Q7 2006-2020,2000000,2012,98000,Diesel,Audi
377,Maruti Swift Dzire,380000,2013,113450,Diesel,Maruti
378,Maruti Wagon R,400000,2018,80000,Petrol,Maruti
379,Hyundai Santro Sportz,565000,2020,1000,Petrol,Hyundai
380,Maruti Wagon R,335000,2015,20292,Petrol,Maruti
381,Mahindra Scorpio 2009-2014,300000,2010,67900,Diesel,Mahindra
382,Chevrolet Beat Diesel,200000,2012,70000,Diesel,Chevrolet
383,Mahindra Scorpio 1.99,1051000,2015,40000,Diesel,Mahindra
384,Hyundai Grand i10,509999,2017,60000,Diesel,Hyundai
385,Renault KWID Climber,370000,2018,25000,Petrol,Renault
386,Maruti Wagon R,200000,2006,70000,Petrol,Maruti
387,Maruti Baleno Delta,625000,2018,21000,Diesel,Maruti
388,Mahindra Scorpio S7,1290000,2018,39000,Diesel,Mahindra
389,Hyundai Creta 1.6,890000,2017,30000,Petrol,Hyundai
390,Hyundai Verna 1.6,420000,2012,61000,Diesel,Hyundai
391,Maruti Swift LXI,500000,2017,5743,Petrol,Maruti
392,Nissan Terrano XL,750000,2017,44000,Diesel,Nissan
393,Hyundai Grand i10,600000,2018,24200,Petrol,Hyundai
394,Maruti Baleno Delta,590000,2017,57000,Diesel,Maruti
395,Hyundai i10 Magna,190000,2011,58000,Petrol,Hyundai
396,Datsun GO Plus,500000,2017,15000,Petrol,others
397,Maruti Celerio ZXI,450000,2017,10000,Petrol,Maruti
398,Mahindra NuvoSport N8,550000,2016,70000,Diesel,Mahindra
399,Chevrolet Beat LT,170000,2011,65000,Petrol,Chevrolet
400,Mahindra XUV500 W6,650000,2015,100000,Diesel,Mahindra
401,Maruti Wagon R,500000,2020,10000,Petrol,Maruti
402,Hyundai Xcent 1.2,500000,2015,10000,Petrol,Hyundai
403,Maruti Alto LXi,140000,2009,43000,Petrol,Maruti
404,Honda Amaze S,349000,2013,64000,CNG,Honda
405,Maruti Wagon R,325000,2014,30000,Petrol,Maruti
406,Honda City i,434999,2014,63000,Petrol,Honda
407,Maruti Celerio VXI,455000,2018,28000,CNG,Maruti
408,Honda City i,755000,2017,32226,Petrol,Honda
409,Renault Koleos 2.0,650000,2013,63432,Diesel,Renault
410,Audi A3 cabriolet,4000000,2018,8000,Petrol,Audi
411,Honda Brio V,250000,2013,80000,Petrol,Honda
412,Maruti Alto K10,245000,2014,65000,Petrol,Maruti
413,Kia Seltos HTK,1350000,2019,14000,Diesel,others
414,Tata Indigo LX,215000,2013,90760,Diesel,Tata
415,Tata Indigo LX,400000,2016,80000,Diesel,Tata
416,Renault KWID AMT,310000,2018,15000,Petrol,Renault
417,Toyota Fortuner 4X2,1235000,2012,85000,Petrol,Toyota
418,Renault Captur 1.5,1265000,2018,12851,Diesel,Renault
419,BMW 6 Series,5500000,2018,30000,Petrol,BMW
420,Maruti Swift Dzire,675000,2018,32000,Diesel,Maruti
421,Maruti Wagon R,500000,2019,30000,Petrol,Maruti
422,Hyundai i10 Sportz,300000,2010,25000,Petrol,Hyundai
423,Mahindra Scorpio S10,1450000,2016,35000,Diesel,Mahindra
424,Mahindra Scorpio VLX,530000,2013,140000,Diesel,Mahindra
